Technology,D365 Guides,D365 Remote Assist,Altoura,Matterport,LogMe In Rescue,Ohmnilabs,Immersive Video,Web 3D Viewer,CAD to 3D Automation,,,,,
,,,,,,,,,,,,,,
How will this help me?,,,,,,,,,,,,,,
Topic 1,Operation Execution,Factory Acceptance Testing,Training Lab/Classroom ,Virtual Walkthrough,,Virtual GEMBA,,Interactive buying experience,Scalable 3D Conversion and Modeling (1000’s per year),,,,,
Topic 2,Reduce Errors and Help Increase Safety,SME Collaboration,Product Showcases,Customer Overview,,Person in Plant,,Lead Generation,Faster Product Dev Cycles,,,,,
Topic 3,Improve Training and Processes,Customer Audits,Virtual PPI & Events,Engineering Planning,,Customer Support,,Lead Qualification,Reduce re-work of 3D Data for different use-cases,,,,,
Topic 4,Standardize Skills and Reinforce Compliance,Operations Support,Collaborative 3D Design,Sales and Marketing,,Operations Support,,Customer Education,3D Assets are current and reflect RFCs / Design Changes,,,,,
Topic 5,Increase Retention and Close Knowledge Gap,Customer/Regulatory Audits,Digital Twin Site Walkthroughs,Customer/Regulatory Audits,,Customer/Regulatory Audits,,Sales Demonstrations,,,,,,
Topic 6,,,Reduced Travel Costs,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Success Stories,,,,,,,,,,,,,,
Headline,,,,,,,,,,,,,,
Headline Description,,,,,,,,,,,,,,
Video 1,"<iframe width=""640"" height=""360"" src=""https://web.microsoftstream.com/embed/video/cfffa45b-3dba-41a4-9f00-8d7bb8c47533?autoplay=false&amp;showinfo=true"" allowfullscreen style=""border:none;""></iframe>","<iframe width=""640"" height=""360"" src=""https://web.microsoftstream.com/embed/video/fef00f52-7852-4887-a307-1d1b1e06b979?autoplay=false&amp;showinfo=true"" allowfullscreen style=""border:none;""></iframe>",,,,,,,,,,,,
Title 1,Greenville Gold Star Guide,HoloLens 2 and Dynamics 365 Remote Assist ,,,,,,,,,,,,
Description 1,"Video demonstrating Dynamics 365 Guides at Greenville, SC.",Video showcasing HoloLens 2 Dynamics 365 Remote Assist call with Teams participants.,,,,,,,,,,,,
Video 2,"<iframe width=""640"" height=""360"" src=""https://web.microsoftstream.com/embed/video/51fc8ce5-f287-4af5-97f5-945650ff766f?autoplay=false&amp;showinfo=true"" allowfullscreen style=""border:none;""></iframe>","<iframe width=""640"" height=""360"" src=""https://web.microsoftstream.com/embed/video/8846221a-2961-4173-9d75-1ad4545f5365?autoplay=false&amp;showinfo=true"" allowfullscreen style=""border:none;""></iframe>",,,,,,,,,,,,
Title 2,Amplitude Digital Twin,Amplitude Collaboration,,,,,,,,,,,,
Description 2,HoloLens 2 video featuring Dynamics 365 Guides and Amplitude digital twin model.,Video of the HoloLens 2 collaborating through Dynamics 365 Remote Assist and features an Amplitude digital twin model.,,,,,,,,,,,,
Video 3,"<iframe width=""640"" height=""360"" src=""https://web.microsoftstream.com/embed/video/2edc6ddc-2f53-482a-a056-e56637fe7e54?autoplay=false&amp;showinfo=true"" allowfullscreen style=""border:none;""></iframe>","<iframe width=""640"" height=""360"" src=""https://web.microsoftstream.com/embed/video/993d58a9-0783-4028-98f1-bf544f714573?autoplay=false&amp;showinfo=true"" allowfullscreen style=""border:none;""></iframe>",,,,,,,,,,,,
Title 3,Acrion Customer Guide,Acrion Remote Assist Demo,,,,,,,,,,,,
Description 3,Acrion HoloLens 2 video demonstration using Dynamics 365 Guides.,Acrion HoloLens 2 video demonstration using Dynamics 365 Remote Assist.,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Video 1
Public folder links (BACKUP)",https://thermofisher.sharepoint.com/:v:/r/sites/ImmersiveTechnologiesCoE/Shared%20Documents/General/Immersive.tf%20Videos/GRC%20Washer%20Gold%20Star.mov?csf=1&web=1&e=1xDtK2,https://web.microsoftstream.com/video/fef00f52-7852-4887-a307-1d1b1e06b979?autoplay=false&showinfo=true,,,,,,,,,,,,
Video 2,https://thermofisher.sharepoint.com/:v:/r/sites/ImmersiveTechnologiesCoE/Shared%20Documents/General/Immersive.tf%20Videos/Amplitude%20POC%20for%20Product%20Demo%20on%20Hololens%202.mp4?csf=1&web=1&e=gMLE0Z,https://thermofisher.sharepoint.com/:v:/r/sites/ImmersiveTechnologiesCoE/Shared%20Documents/General/Immersive.tf%20Videos/10k24%20HL2%20Broadcast_17July2020.mp4?csf=1&web=1&e=bcdA3z,,,,,,,,,,,,
Video 3,https://thermofisher.sharepoint.com/:v:/r/sites/ImmersiveTechnologiesCoE/Shared%20Documents/General/Immersive.tf%20Videos/Acrion%20Demo%202.mp4?csf=1&web=1&e=A46Fwd,https://thermofisher.sharepoint.com/:v:/r/sites/ImmersiveTechnologiesCoE/Shared%20Documents/General/Immersive.tf%20Videos/Acrion%20Remote%20Assist%20Demo.mp4?csf=1&web=1&e=sgLwPv,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Embed video code provided by Stream,,,,,,,,,,,,,,
Video with Error: Cross-Origin Read Blocking (CORB) blocked cross-origin response,This colored cell will be removed from the csv file consume by the template (so that can be empty cells for demo) ,,,,,,,,,,,,,
Video with duration of >= 30 min,This colored cell will be removed from the csv file consume by the template (so that can be empty cells for demo) ,,,,,,,,,,,,,
The content of this cell was removed so that the csv file can be consume by the template,"Previous value: 
Coming Soon / Coming Soon (Internal project, still in dev)",,,,,,,,,,,,,
"Video only functional when downloaded directly into repo (Duration < 6min)
Demo 'video' branch","Additional comment about demo:
This videos are located in a static path inside the repo and the content of this cell will be replaced by 'name video' keyword so that can be mapped by the template ) ",,,,,,,,,,,,,
Modified url syntax to follow standard so that functions can be applied,"Previous value: 
https://www.youtube.com/watch?v=8TwbsTXfzVQ",Cell: G-3,,,,,,,,,,,,
Provisional case,"Use:
When there's a list of features on the summary but there's no evaluation dots (It should showed the section with some harcoded data)",,,,,,,,,,,,,
